Malay,English,,,,,
Isnin depan,next Monday,,,,,
Selasa depan,next Tuesday,,,,,
minggu depan,next week,,,,,
dalam masa satu jam,in one hour time,,,,,
dalam masa dua hari,in two days,,,,,
hujung minggu depan ,next weekend,,,,,
dalam masa dua minggu,in two weeks,,,,,
bulan depan,next month,,,,,
dalam masa dua bulan,in two months,,,,,
tahun ini,this year,,,,,
tahun depan,next year,,,,,
dalam masa dua tahun ,in two years,,,,,
masa depan,next time,,,,, 
baru-baru ini,recently,,,,,
dulu,last time,,,,,
lima minit tadi,five minutes ago,,,,,
tiga hari lepas,three days ago,,,,,
dua tahun lepas,two years ago,,,,,
malam semalam,last night,,,,,
Isnin lepas,last Monday,,,,,
minggu lepas,last week,,,,,
januari lepas,last January,,,,,
tahun lepas,last year,,,,,
bulan lepas,last month,,,,,
minggu lepas,last week,,,,,
hujung minggu lepas,last weekend,,,,,
semalam ,yesterday,,,,,
pagi semalam,yesterday morning,,,,,
tengah hari semalam ,yesterday afternoon,,,,,
malam semalam,yesterday evening,,,,,
pada suatu masa dulu,a long time ago,,,,,
pada masa lama,for a long time,,,,,
bulan januari lepas,last January,,,,,
Hari Raya lepas,last Hari Raya,,,,,
secepat mungkin,asap,,,,,
sekarang,now,,,,,
nanti,later,,,,,
selepas ini,after this,,,,,
pagi ini,this morning,,,,,
tenga hari ini,this mid-day/afternoon,,,,,
petang ini,this evening,,,,,
malam ini,this night,,,,,
minggu ini,this week,,,,,
bulan ini,this month,,,,,
hari ini,today,,,,,
esok,tomorrow,,,,,
lusa,the day after tomorrow,,,,,
semalam ,yesterday,,,,,
kelmarin,the day before yesterday,,,,,
pagi esok,tomorrow morning,,,,,
tenga hari esok,tomorrow afternoon,,,,,
malam esok,tomorrow night,,,,,
pada tengah hari ,at noon,,,,,
pada pukul tiga,at three o’clock,,,,,
pada tengah malam,at midnight,,,,,
pada hari Isnin,on Monday,,,,,
pada hari Selasa,on Tuesday,,,,,
musim sejuk,winter,,,,,
musim luruh,autumn,,,,,
musim bunga,spring,,,,,
musim panas,summer,,,,,
musim hujan,rainy season,,,,,
setiap Jumaad,on Fridays,,,,,
setiap Ahad,on Sundays,,,,,
Isnin depan,next Monday,,,,,
selalunya,usually,,,,,
kerap,often,,,,,
sekali-sekala,from time to time,,,,,
kadang-kadang,sometimes,,,,,
setiap hari,every/each day,,,,,
setiap pagi,every morning,,,,,
setiap tengah hari,every afternoon,,,,,
setiap petang,every evening,,,,,
setiap malam,every night,,,,,
setiap tahun,every year,,,,,
setiap bulan,every month,,,,,
setiap hujung minggu,every weekend,,,,,
pagi,morning,,,,,
tengah hari,midday/afternoon,,,,,
petang,evening,,,,,
malam,night,,,,,
hujung minggu,weekend,,,,,
hari kerja,weekdays (working days),,,,,
Hari ini hari apa?,What day is today?,,,,,
Hari ini hari Sabtu,Today is Saturday,,,,,
Apa tarikh hari ini?,What is the date today?,,,,,
